index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
814,07-07-1905,Pretty Girls,Karin Slaughter,eng,Intermediate,3.95,60737,genre fiction,226.86,0,1.99,952,"Amazon Digital Services,  Inc.",2916
815,30-06-1905,Last Argument of Kings,Joe Abercrombie,eng,Excellent,4.26,65068,genre fiction,568.86,341.316,4.99,952,Macmillan,2916
816,06-07-1905,Revival,Stephen King,en-US,Intermediate,3.75,53662,genre fiction,568.86,0,4.99,953,"Amazon Digital Services,  Inc.",2916
817,07-05-1905,Horton Hears a Who!,Dr. Seuss,eng,Excellent,4.16,80883,genre fiction,112.86,67.716,0.99,955,"Amazon Digital Services,  Inc.",2916
818,28-06-1905,The Blind Side: Evolution of a Game,Michael   Lewis,eng,Excellent,4.16,37792,children,226.86,136.116,1.99,956,HarperCollins Publishers,2889
819,23-06-1905,Lirael,Garth Nix,en-US,Excellent,4.29,78903,genre fiction,876.66,525.996,7.69,957,Penguin Group (USA) LLC,2889
820,28-06-1905,School's Out Forever,James Patterson,en-US,Excellent,4.16,90157,fiction,340.86,204.516,2.99,958,"Amazon Digital Services,  Inc.",2889
821,29-06-1905,é»’åŸ·äº‹ I [Kuroshitsuji I],"Yana Toboso, Tomo Kimura",eng,Excellent,4.37,74378,nonfiction,1366.86,820.116,11.99,960,Penguin Group (USA) LLC,2889
822,07-07-1905,Winter,Marissa Meyer,eng,Famous,4.49,100464,nonfiction,397.86,0,3.49,961,"Amazon Digital Services,  Inc.",2889
823,28-02-1905,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,"Robert Louis Stevenson, Robert Mighall",eng,Intermediate,3.94,80299,genre fiction,568.86,341.316,4.99,963,Random House LLC,2889
824,04-07-1905,,Emily Seife,en-US,Famous,4.4,67264,genre fiction,340.86,0,2.99,963,"Amazon Digital Services,  Inc.",2889
825,30-06-1905,The Painted Man,Peter V. Brett,eng,Excellent,4.27,64416,genre fiction,454.86,272.916,3.99,966,"Amazon Digital Services,  Inc.",2889
826,04-08-1904,,John Bunyan,,Intermediate,3.98,67777,genre fiction,856.14,513.684,7.51,967,Penguin Group (USA) LLC,2889
827,27-06-1905,One Shot,Lee Child,eng,Excellent,4.2,63335,genre fiction,340.86,204.516,2.99,968,Simon and Schuster Digital Sales Inc,2889
828,04-07-1905,The Serpent's Shadow,Rick Riordan,eng,Excellent,4.28,82757,genre fiction,345.42,0,3.03,968,"Amazon Digital Services,  Inc.",2889
829,30-06-1905,Duma Key,Stephen King,en-US,Intermediate,3.93,73807,genre fiction,844.74,506.844,7.41,969,Macmillan,2889
830,28-06-1905,The Shifting Fog,Kate Morton,eng,Intermediate,3.93,69948,genre fiction,228,0,2,970,"Amazon Digital Services,  Inc.",2889
831,22-06-1905,,Robert Jordan,en-US,Intermediate,3.92,71355,fiction,597.36,358.416,5.24,970,"Amazon Digital Services,  Inc.",2889
832,28-06-1905,Proven Guilty,Jim Butcher,eng,Famous,4.41,75133,genre fiction,778.62,467.172,6.83,971,Simon and Schuster Digital Sales Inc,2889
833,06-02-1905,Ð—Ð°Ð¿Ð¸ÑÐºÐ¸ Ð¸Ð· Ð¿Ð¾Ð´Ð¿Ð¾Ð»ÑŒÑ,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",eng,Excellent,4.17,65900,genre fiction,910.86,546.516,7.99,971,Random House LLC,2889
834,23-04-1905,The Heart is a Lonely Hunter,Carson McCullers,eng,Intermediate,3.97,67643,genre fiction,454.86,0,3.99,972,"Amazon Digital Services,  Inc.",2889
835,06-07-1905,The Infinite Sea,Rick Yancey,eng,Intermediate,3.94,78314,genre fiction,454.86,0,3.99,973,"Amazon Digital Services,  Inc.",2889
836,11-05-1905,The Once and Future King,T.H. White,eng,Excellent,4.08,76911,nonfiction,746.7,448.02,6.55,973,Macmillan,2889
837,14-06-1905,Small Gods,Terry Pratchett,en-GB,Excellent,4.27,72588,genre fiction,1220.4,732.24,10.8,977,HarperCollins Publishers,2889
838,21-06-1905,"Bud, Not Buddy",Christopher Paul Curtis,eng,Intermediate,3.89,73000,genre fiction,431.66,258.996,3.82,980,"Amazon Digital Services,  Inc.",2889
839,28-06-1905,,Alison Bechdel,eng,Excellent,4.12,48305,genre fiction,902.87,541.722,7.99,981,Hachette Book Group,2889
840,29-06-1905,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,en-US,Excellent,4.1,61496,genre fiction,563.87,0,4.99,982,"Amazon Digital Services,  Inc.",2889
841,04-07-1905,Ø§Ù„ÙÙŠÙ„ Ø§Ù„Ø£Ø²Ø±Ù‚,Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯,ara,Intermediate,3.8,53187,nonfiction,1128.87,677.322,9.99,984,"Amazon Digital Services,  Inc.",2889
842,02-06-1905,The Indian in the Cupboard,Lynne Reid Banks,eng,Intermediate,3.89,77046,genre fiction,450.87,0,3.99,985,"Amazon Digital Services,  Inc.",2889
843,04-07-1905,A Memory of Light,"Robert Jordan, Brandon Sanderson",eng,Famous,4.5,68410,genre fiction,450.87,0,3.99,986,"Amazon Digital Services,  Inc.",2889
